frequency_hz,z_real_ohm,z_imag_ohm,s11_real,s11_imag,s11_db
2.218000000000000000e+09,1.134608408699165949e+02,-5.823511383066198732e+01,4.571350588807243098e-01,-1.934029059957861063e-01,-6.083995797080717693e+00
2.219000000000000000e+09,1.133934818174318337e+02,-5.781422464860885668e+01,4.560787382768660692e-01,-1.924580201525587786e-01,-6.107490060186071545e+00
2.220000000000000000e+09,1.133516210146926966e+02,-5.742361038067006263e+01,4.551535793729847845e-01,-1.915319136782504261e-01,-6.128785673159714342e+00
2.221000000000000000e+09,1.133339483472224032e+02,-5.706580830628313805e+01,4.543619258112098769e-01,-1.906356765470093306e-01,-6.147750706497193462e+00
2.222000000000000000e+09,1.133389205308940575e+02,-5.674335411512844729e+01,4.537052269765678991e-01,-1.897808413093389213e-01,-6.164266129324094123e+00
2.223000000000000000e+09,1.133647502495624195e+02,-5.645876664371787257e+01,4.531839876755207053e-01,-1.889793091209333309e-01,-6.178227738226206078e+00
2.224000000000000000e+09,1.134093951465985697e+02,-5.621453049059543616e+01,4.527977241773201711e-01,-1.882432707811020622e-01,-6.189547948312404735e+00
2.225000000000000000e+09,1.134705469384204974e+02,-5.601307619266103188e+01,4.525449270868734941e-01,-1.875851233475909485e-01,-6.198157405156031530e+00
2.226000000000000000e+09,1.135456209988516036e+02,-5.585675765723196662e+01,4.524230314659373198e-01,-1.870173829374718322e-01,-6.204006378977185321e+00
2.227000000000000000e+09,1.136317468503806367e+02,-5.574782657070134206e+01,4.524283945637500026e-01,-1.865525943618536464e-01,-6.207065906740851347e+00
2.228000000000000000e+09,1.137257600907043980e+02,-5.568840354798729919e+01,4.525562814590336491e-01,-1.862032382749707060e-01,-6.207328653647993022e+00
2.229000000000000000e+09,1.138241963780129566e+02,-5.568044585067552532e+01,4.528008588532769774e-01,-1.859816365456344878e-01,-6.204809472578967977e+00
2.230000000000000000e+09,1.139232881929974752e+02,-5.572571158901379107e+01,4.531551971907137322e-01,-1.858998565806171122e-01,-6.199545648121375763e+00
2.231000000000000000e+09,1.140189651849471772e+02,-5.582572043681371099e+01,4.536112812140894457e-01,-1.859696153452529144e-01,-6.191596820511014343e+00
2.232000000000000000e+09,1.141068589876283852e+02,-5.598171103129203630e+01,4.541600289976658877e-01,-1.862021838361132275e-01,-6.181044593728097780e+00
2.233000000000000000e+09,1.141823134505155650e+02,-5.619459540343545711e+01,4.547913194305122642e-01,-1.866082927639916289e-01,-6.167991840696171124e+00
2.234000000000000000e+09,1.142404012635788035e+02,-5.646491098853199730e+01,4.554940280545548004e-01,-1.871980402025579526e-01,-6.152561726618351656e+00
2.235000000000000000e+09,1.142759479492368939e+02,-5.679277099889577585e+01,4.562560710936908182e-01,-1.879808019489157545e-01,-6.134896478588704127e+00
2.236000000000000000e+09,1.142835641424698281e+02,-5.717781419652663288e+01,4.570644574430800522e-01,-1.889651453269428349e-01,-6.115155935439480217e+00
2.237000000000000000e+09,1.142576869685129708e+02,-5.761915537414778754e+01,4.579053483220659193e-01,-1.901587471429141418e-01,-6.093515916117414832e+00
2.238000000000000000e+09,1.141926311469684805e+02,-5.811533812646082708e+01,4.587641242306159106e-01,-1.915683164755086765e-01,-6.070166447612494132e+00
2.239000000000000000e+09,1.140826501935139277e+02,-5.866429175318756961e+01,4.596254587882582232e-01,-1.931995229492801114e-01,-6.045309894574373288e+00
2.240000000000000000e+09,1.139220077512308080e+02,-5.926329436103262083e+01,4.604733989767030300e-01,-1.950569311021081165e-01,-6.019159032323322833e+00
2.241000000000000000e+09,1.137050586636569562e+02,-5.990894439926083948e+01,4.612914512531989253e-01,-1.971439414134819046e-01,-5.991935103146508013e+00
2.242000000000000000e+09,1.134263389085836167e+02,-6.059714294703942272e+01,4.620626729516563169e-01,-1.994627385120029128e-01,-5.963865892779899092e+00
2.243000000000000000e+09,1.130806629612240073e+02,-6.132308904369692470e+01,4.627697683430129216e-01,-2.020142470275623214e-01,-5.935183860064306316e+00
2.244000000000000000e+09,1.126632265726174467e+02,-6.208129019166124607e+01,4.633951886857757274e-01,-2.047980954968212919e-01,-5.906124348196486906e+00
2.245000000000000000e+09,1.121697123680824717e+02,-6.286558984753266799e+01,4.639212355622651107e-01,-2.078125886702108238e-01,-5.876923901044848186e+00
2.246000000000000000e+09,1.115963951333495174e+02,-6.366921324009533123e+01,4.643301667663643495e-01,-2.110546885052392851e-01,-5.847818702909162170e+00
2.247000000000000000e+09,1.109402432103504168e+02,-6.448483221784188402e+01,4.646043039845792477e-01,-2.145200040650163675e-01,-5.819043155097215703e+00
2.248000000000000000e+09,1.101990121200939257e+02,-6.530464905049007029e+01,4.647261414942920887e-01,-2.182027904729656187e-01,-5.790828597948634027e+00
2.249000000000000000e+09,1.093713264128557796e+02,-6.612049822304670954e+01,4.646784550913250489e-01,-2.220959570054594490e-01,-5.763402182596321310e+00
2.250000000000000000e+09,1.084567458535022553e+02,-6.692396431708978355e+01,4.644444104534966589e-01,-2.261910843339207389e-01,-5.736985892916603547e+00
2.251000000000000000e+09,1.074558124047360792e+02,-6.770651313529980087e+01,4.640076701476634202e-01,-2.304784508575918323e-01,-5.711795714838362237e+00
2.252000000000000000e+09,1.063700750765035110e+02,-6.845963236357466997e+01,4.633524984950150305e-01,-2.349470679980673327e-01,-5.688040947479181320e+00
2.253000000000000000e+09,1.052020905458445412e+02,-6.917497735371613032e+01,4.624638635228376926e-01,-2.395847242574873359e-01,-5.665923648449338934e+00
2.254000000000000000e+09,1.039553984747969935e+02,-6.984451711595595214e+01,4.613275352506508997e-01,-2.443780377746166133e-01,-5.645638204079091338e+00
2.255000000000000000e+09,1.026344716001386672e+02,-7.046067538733380786e+01,4.599301795842835050e-01,-2.493125170472492713e-01,-5.627371014238256919e+00
2.256000000000000000e+09,1.012446418574836713e+02,-7.101646172067866303e+01,4.582594471229948230e-01,-2.543726294263130572e-01,-5.611300280768735327e+00
2.257000000000000000e+09,9.979200494542935473e+01,-7.150558792477082193e+01,4.563040562217305363e-01,-2.595418769268871828e-01,-5.597595888282594245e+00
2.258000000000000000e+09,9.828330674635125774e+01,-7.192256585643548306e+01,4.540538696929479756e-01,-2.648028788448990589e-01,-5.586419366121580410e+00
2.259000000000000000e+09,9.672581582333027939e+01,-7.226278347075688657e+01,4.514999645795941263e-01,-2.701374606157405656e-01,-5.577923920570546201e+00
2.260000000000000000e+09,9.512718675101143617e+01,-7.252255710638526409e+01,4.486346944825534977e-01,-2.755267483030011122e-01,-5.572254526906639249e+00
2.261000000000000000e+09,9.349531928031615280e+01,-7.269915913591076162e+01,4.454517439816388924e-01,-2.809512680623780789e-01,-5.569548071496828179e+00
2.262000000000000000e+09,9.183821827876003852e+01,-7.279082125950884574e+01,4.419461747486352898e-01,-2.863910498877171862e-01,-5.569933534883620752e+00
2.263000000000000000e+09,9.016385905180942473e+01,-7.279671478199998091e+01,4.381144630134299889e-01,-2.918257349137547974e-01,-5.573532207581529008e+00
2.264000000000000000e+09,8.848006208083647550e+01,-7.271691012095189421e+01,4.339545281094667750e-01,-2.972346855232365082e-01,-5.580457931116130865e+00
2.265000000000000000e+09,8.679438046990091493e+01,-7.255231849757549867e+01,4.294657518919870465e-01,-3.025970974854134132e-01,-5.590817357644747077e+00
2.266000000000000000e+09,8.511400254522565945e+01,-7.230461923594384643e+01,4.246489888913360100e-01,-3.078921133381614106e-01,-5.604710222285712362e+00
2.267000000000000000e+09,8.344567116651583660e+01,-7.197617633457529962e+01,4.195065671333915169e-01,-3.130989362175264912e-01,-5.622229623035489787e+00
2.268000000000000000e+09,8.179562045071924103e+01,-7.156994799217234515e+01,4.140422796292977936e-01,-3.181969433363986965e-01,-5.643462303860465212e+00
2.269000000000000000e+09,8.016952982785373649e+01,-7.108939259598230365e+01,4.082613666067591018e-01,-3.231657983180389881e-01,-5.668488937206044298e+00
2.270000000000000000e+09,7.857249468232689082e+01,-7.053837435649641918e+01,4.021704886243185895e-01,-3.279855616006466246e-01,-5.697384402767027289e+00
2.271000000000000000e+09,7.700901230422847732e+01,-6.992107134030742088e+01,3.957776907781085374e-01,-3.326367981455644607e-01,-5.730218059907682182e+00
