frequency_hz,z_real_ohm,z_imag_ohm,s11_real,s11_imag,s11_db
2.360000000000000000e+09,5.554508814553457796e+01,6.091693521982432458e+01,2.892892299935377887e-01,4.101974113358760055e-01,-5.986853359017276333e+00
2.361000000000000000e+09,5.553247059140309716e+01,6.069474650735783428e+01,2.879509220542980086e-01,4.095198192984678687e-01,-6.009804344609436022e+00
2.362000000000000000e+09,5.550663950578687178e+01,6.047479138666287213e+01,2.865798915394441870e-01,4.089214899867616992e-01,-6.031996509581882826e+00
2.363000000000000000e+09,5.546825206176322354e+01,6.025741558561031752e+01,2.851794873044816714e-01,4.084000242782897527e-01,-6.053418685635434393e+00
2.364000000000000000e+09,5.541794903703270592e+01,6.004286485985497990e+01,2.837524984302298159e-01,4.079528423366960976e-01,-6.074067940853221437e+00
2.365000000000000000e+09,5.535634136412122785e+01,5.983129174915792703e+01,2.823011441641612995e-01,4.075772665941706507e-01,-6.093948626862028206e+00
2.366000000000000000e+09,5.528399809115415309e+01,5.962276398699042801e+01,2.808270750630916246e-01,4.072706047145214225e-01,-6.113071261497228015e+00
2.367000000000000000e+09,5.520143592506626362e+01,5.941727431125813297e+01,2.793313851663407621e-01,4.070302310853081695e-01,-6.131451270578899937e+00
2.368000000000000000e+09,5.510911048894215014e+01,5.921475141424493671e+01,2.778146348454913483e-01,4.068536654311126211e-01,-6.149107615395040582e+00
2.369000000000000000e+09,5.500740938694050186e+01,5.901507176536976118e+01,2.762768838021788520e-01,4.067386472061964575e-01,-6.166061334751516299e+00
2.370000000000000000e+09,5.489664713423874787e+01,5.881807204010438994e+01,2.747177335216302030e-01,4.066832045121736017e-01,-6.182334031974900945e+00
2.371000000000000000e+09,5.477706197570104507e+01,5.862356189158482067e+01,2.731363783395083789e-01,4.066857163931296704e-01,-6.197946338065911220e+00
2.372000000000000000e+09,5.464881458535835890e+01,5.843133680739632041e+01,2.715316641451810953e-01,4.067449674849143992e-01,-6.212916382349311206e+00
2.373000000000000000e+09,5.451198860905110166e+01,5.824119080228641820e+01,2.699021536278685685e-01,4.068601941348493622e-01,-6.227258301522672568e+00
2.374000000000000000e+09,5.436659298442940269e+01,5.805292870791883786e+01,2.682461968748576786e-01,4.070311212603260342e-01,-6.240980817056708929e+00
