frequency_hz,z_real_ohm,z_imag_ohm,s11_real,s11_imag,s11_db
2.213000000000000000e+09,2.050609796423627884e+01,4.482809119928676012e+01,-1.001941212645979067e-02,6.421748419948228870e-01,-3.845877165683289078e+00
2.214000000000000000e+09,2.051502935940788674e+01,4.532563105939590287e+01,-3.518073957451602844e-03,6.450410698944499810e-01,-3.808123472065561010e+00
2.215000000000000000e+09,2.052640624862728558e+01,4.581329554322438469e+01,2.854783195441387960e-03,6.477362302558689056e-01,-3.771951853046849212e+00
2.216000000000000000e+09,2.053946873707705123e+01,4.629151636813600845e+01,9.099143288916006211e-03,6.502785468744355368e-01,-3.737161223703000079e+00
2.217000000000000000e+09,2.055351355685450443e+01,4.676079663078147064e+01,1.521683209325772057e-02,6.526853606347440273e-01,-3.703562590367845075e+00
2.218000000000000000e+09,2.056790260010717475e+01,4.722170493366678556e+01,2.121137442115825222e-02,6.549729546509595046e-01,-3.670980178413756789e+00
2.219000000000000000e+09,2.058207076635534705e+01,4.767486832839870914e+01,2.708783507043923192e-02,6.571563975737582108e-01,-3.639252492756655855e+00
2.220000000000000000e+09,2.059553294493706588e+01,4.812096418305672074e+01,3.285264561613026463e-02,6.592494065643565992e-01,-3.608233285829627768e+00
2.221000000000000000e+09,2.060788997551172841e+01,4.856071111050549405e+01,3.851341932388793743e-02,6.612642311933358830e-01,-3.577792408552655790e+00
2.222000000000000000e+09,2.061883345681066615e+01,4.899485911857541254e+01,4.407875656587044444e-02,6.632115592670088100e-01,-3.547816521425441572e+00
2.223000000000000000e+09,2.062814930497576782e+01,4.942417916092032470e+01,4.955804320130891699e-02,6.651004453201044830e-01,-3.518209645269688046e+00
2.224000000000000000e+09,2.063571999633323628e+01,4.984945227834187165e+01,5.496124443607847132e-02,6.669382622434202323e-01,-3.488893534292951681e+00
2.225000000000000000e+09,2.064152546365516372e+01,5.027145852423079475e+01,6.029869669841313173e-02,6.687306762422088324e-01,-3.459807857936640474e+00
2.226000000000000000e+09,2.064564264824531392e+01,5.069096586469079568e+01,6.558090006150907314e-02,6.704816450484031298e-01,-3.430910182272188802e+00
2.227000000000000000e+09,2.064824374103987381e+01,5.110871923442867626e+01,7.081831370819212379e-02,6.721934390404987747e-01,-3.402175746354679120e+00
2.228000000000000000e+09,2.064959317304619191e+01,5.152542991453492505e+01,7.602115686912259973e-02,6.738666846621893525e-01,-3.373597033742679052e+00
2.229000000000000000e+09,2.065004343785798469e+01,5.194176537896118617e+01,8.119921757470252577e-02,6.755004292774104968e-01,-3.345183144153018429e+00
2.230000000000000000e+09,2.065002984599921732e+01,5.235833973417089737e+01,8.636167144358634917e-02,6.770922263584246981e-01,-3.316958974740895183e+00
2.231000000000000000e+09,2.065006432215024645e+01,5.277570485246923226e+01,9.151691258876774870e-02,6.786382396773443793e-01,-3.288964224603645459e+00
2.232000000000000000e+09,2.065072836190252659e+01,5.319434227529703207e+01,9.667239855754679312e-02,6.801333649627924194e-01,-3.261252239643622097e+00
2.233000000000000000e+09,2.065266526491659604e+01,5.361465593959138687e+01,1.018345110364727440e-01,6.815713672942813606e-01,-3.233888717775137867e+00
2.234000000000000000e+09,2.065657175680380675e+01,5.403696575928138657e+01,1.070084338485926406e-01,6.829450323395295230e-01,-3.206950296541784873e+00
2.235000000000000000e+09,2.066318910353352578e+01,5.446150207605495552e+01,1.121980495509417725e-01,6.842463293959829551e-01,-3.180523046488090699e+00
2.236000000000000000e+09,2.067329381062631199e+01,5.488840097935817397e+01,1.174058557073649200e-01,6.854665840788034537e-01,-3.154700894109630394e+00
2.237000000000000000e+09,2.068768798588265057e+01,5.531770048565627462e+01,1.226329016687448259e-01,6.865966584046522270e-01,-3.129583997932902761e+00
2.238000000000000000e+09,2.070718942997959289e+01,5.574933756147025576e+01,1.278787464419806064e-01,6.876271359546335393e-01,-3.105277100328867945e+00
2.239000000000000000e+09,2.073262150500928414e+01,5.618314597360505758e+01,1.331414379738491693e-01,6.885485097613055494e-01,-3.081887876145428251e+00
2.240000000000000000e+09,2.076480281793809368e+01,5.661885495307991789e+01,1.384175139191601012e-01,6.893513705539418002e-01,-3.059525297274585665e+00
2.241000000000000000e+09,2.080453674495276317e+01,5.705608866612888619e+01,1.437020237071399142e-01,6.900265930131218584e-01,-3.038298029980541770e+00
2.242000000000000000e+09,2.085260081455721703e+01,5.749436649572955815e+01,1.489885714690847018e-01,6.905655177298458680e-01,-3.018312879334892784e+00
2.243000000000000000e+09,2.090973596278315583e+01,5.793310414969928956e+01,1.542693791464530839e-01,6.909601266349904014e-01,-2.999673292560470106e+00
2.244000000000000000e+09,2.097663567356455516e+01,5.837161562568708462e+01,1.595353688649121804e-01,6.912032097609621673e-01,-2.982477930590225590e+00
2.245000000000000000e+09,2.105393502162509023e+01,5.880911607843371769e+01,1.647762634387129610e-01,6.912885213175976595e-01,-2.966819314801125262e+00
